,city,latitude,temp,humidity,clouds,wind
0,port alfred,-33.59,61.56,100,92,5.61
1,onguday,50.75,-5.45,60,76,1.92
2,qaanaaq,77.48,-26.15,100,0,11.77
3,kapaa,22.08,78.19,68,1,12.75
4,avera,33.19,61.38,93,90,5.82
5,khatanga,71.98,-11.34,74,68,7.96
6,bluff,-23.58,92.34,38,0,12.66
7,nioro,13.79,63.14,38,0,10.2
8,troitsk,54.08,16.25,81,88,7.74
9,cockburn town,21.46,78.39,100,0,19.26
10,punta arenas,-53.16,48.2,86,20,23.04
11,acapulco,16.86,78.8,78,90,3.36
12,pisco,-13.71,69.8,88,0,9.17
13,rikitea,-23.12,80.15,100,92,11.21
14,aksarka,66.56,-13.86,63,0,3.15
15,necochea,-38.55,63.05,76,0,13.0
16,cape town,-33.93,53.6,71,0,3.36
17,dikson,73.51,6.62,100,64,10.98
18,mahon,51.89,42.8,100,75,8.05
